A[32]                                 B[32]                                 Result[32]                            Opcode[4]  shiftAmount[5]   ErrorBit[1]
0x4762f139      0x3b465a51      0x20000000      0001       0x1d      0      
0x4a6dfb9a      0x9c8c3978      0x80000000      0001       0x1c      0      
0xca7c588b      0xba455dc7      0xa455dc70      0001       0x4      0      
0xedd2a8eb      0x53cb2de6      0xb2de6000      0001       0xc      0      
0x4c146022      0xc0459926      0x24c00000      0001       0x15      0      
0xfa176061      0x9b24921d      0x24874000      0001       0xe      0      
0xff264560      0x7f6b0c58      0x5862c000      0001       0xb      0      
0xd71bd4be      0x4f8958d1      0x1a200000      0001       0x15      0      
0xebf02f1      0xd2e9b871      0x70e20000      0001       0x11      0      
0x9ea0536c      0xfe167583      0x60000000      0001       0x1d      0      
0x7eebe5de      0x61c661d0      0x3a000000      0001       0x15      0      
0xb7b6059d      0x548fcd48      0x35200000      0001       0x12      0      
0x9697553c      0x23952d93      0x80000000      0001       0x1f      0      
0x65dc0f71      0xd6e46e9e      0xc8dd3c00      0001       0x9      0      
0xd31a4583      0x9cbf8303      0x7f060600      0001       0x9      0      
0x7addd226      0xc3bc7c64      0x8778f8c8      0001       0x1      0      
0xd1deea92      0xc622c106      0x30000000      0001       0x1b      0      
0xb48498dc      0x5c4c24cf      0xc0000000      0001       0x1e      0      
0x106a8da0      0xadefee15      0x15000000      0001       0x18      0      
0xc4bac897      0x7c704391      0x1c880000      0001       0x13      0      
0xd8f24a22      0x8b0680cc      0x66000000      0001       0x17      0      
0x9577cfee      0xebaadbbf      0xbf000000      0001       0x18      0      
0xbda9bb34      0x2d796a85      0xd50a0000      0001       0x11      0      
0x60f94fcc      0xf5b819ab      0x19ab0000      0001       0x10      0      
0x65410493      0x870eb19      0xc8000000      0001       0x1b      0      
0x936269b5      0x57655858      0x0      0001       0x1f      0      
0x9e1ded54      0x243f5879      0x1fac3c80      0001       0x7      0      
0x9fc7a714      0x7dd13f08      0xe89f8400      0001       0x7      0      
0xfb45a633      0x30dd6c4c      0xad898000      0001       0xd      0      
0xc877d91      0xf0a67d48      0xea400000      0001       0x13      0      
0xd970c6da      0x1a8d6f34      0x40000000      0001       0x1c      0      
0x965dd9f0      0x73735eff      0xf0000000      0001       0x1c      0      
