A[32]                                 B[32]                                 Result[32]                            Opcode[4]  shiftAmount[5]   ErrorBit[1]
0x8417db5e      0x9ec78e58      0x22df69b6      0011       00000            1      
0x7cfbe257      0x62287ee1      0xdf246138      0011       00000            1      
0x4d835a49      0x5b3b3a15      0xa8be945e      0011       00000            1      
0x39a236e9      0x76eac6a6      0xb08cfd8f      0011       00000            1      
0x31fe3cbe      0x4c007cec      0x7dfeb9aa      0011       00000            0      
0xd8959328      0x5884cc10      0x311a5f38      0011       00000            0      
0x8ce597eb      0xacad81de      0x399319c9      0011       00000            1      
0x5d25a7a5      0xc124fb3c      0x1e4aa2e1      0011       00000            0      
0x904c1e77      0xfe902e16      0x8edc4c8d      0011       00000            0      
0x24ce5715      0xcaa6287b      0xef747f90      0011       00000            0      
0x82da6f07      0xb83025eb      0x3b0a94f2      0011       00000            1      
0x5ec420a      0xb08a75a3      0xb676b7ad      0011       00000            0      
0x2f7ffaf9      0xe4599d45      0x13d9983e      0011       00000            0      
0x45869b02      0xa98d5afa      0xef13f5fc      0011       00000            0      
0x4a088102      0xe41f65ba      0x2e27e6bc      0011       00000            0      
0xe94d9db0      0x2d5bc135      0x16a95ee5      0011       00000            0      
0xe96b156f      0xf339a821      0xdca4bd90      0011       00000            0      
0xccd18bdf      0xe47f9b2      0xdb198591      0011       00000            0      
0xd1c9528c      0x85c48601      0x578dd88d      0011       00000            1      
0xc4eb1111      0xe022a807      0xa50db918      0011       00000            0      
0x28a7c7cc      0xee793b4b      0x17210317      0011       00000            0      
0xc23647b4      0xef27d44b      0xb15e1bff      0011       00000            0      
0x516040c6      0x61e6ae7f      0xb346ef45      0011       00000            1      
0x9f8506c9      0xf50f2488      0x94942b51      0011       00000            0      
0xced7fb57      0x784b4a20      0x47234577      0011       00000            0      
0x32e30d26      0xf5d7135f      0x28ba2085      0011       00000            0      
0x9c8846df      0x215076da      0xbdd8bdb9      0011       00000            0      
0xd6bfb2b9      0xf1a34284      0xc862f53d      0011       00000            0      
0x5a705855      0xa1d132ea      0xfc418b3f      0011       00000            0      
0x65a165de      0xcfa97792      0x354add70      0011       00000            0      
0xc24947b5      0x262f781f      0xe878bfd4      0011       00000            0      
0x6441876a      0x5a2d3059      0xbe6eb7c3      0011       00000            1      
