Float32A[32]                          Float32B[32]                          FloatResult[32]                       FloatSubMode[1]
0xc1aed8af      0xc248ca27      0xc2901b3f      0
0xc2a2bafc      0x42bd1fe9      0x4153276c      0
0xc16a07f5      0xc2e18f8e      0xc2fed08d      0
0xc2cba3d5      0x42966607      0xc1d4f738      0
0x40eac66a      0xc1a13e43      0xc14d1951      0
0xc1ddc5fe      0xc2bb02ee      0xc2f2746e      0
0x4249c777      0xc14b73b3      0x4216ea8b      0
0xc1916c84      0xc2e3b405      0xc3040793      0
0xc26cc1e8      0x42c6723a      0x4220228c      0
0x42a66684      0x419fae80      0x42ce5224      0
0xc185b92f      0xc2e2ed8c      0xc3022dec      0
0xc2a5dadc      0x41278ed0      0xc290e902      0
0x428e07f1      0x4204d281      0x42d07131      0
0xc2859ef6      0x426b30fa      0xc10033ca      0
0xc2d4c078      0xc2c4dae4      0xc34ccdae      0
0x42ccf64e      0x4233edc5      0x43137698      0
0x428b70e5      0xc0ba3986      0x427f9a99      0
0xc2135d74      0xc2d50d44      0xc30f5dff      0
0x42a3b855      0xc2f5ed80      0xc2246a56      0
0xc2504742      0xc2b48463      0xc30e5402      0
0xc2809bbc      0x42566f9e      0xc12b1f67      0
0x42025a3f      0x424bebe5      0x42a72312      0
0xc184a693      0x412775cb      0xc0c3aeb6      0
0xc0da7528      0xc2346c11      0xc24fbab6      0
0x41d9e5b6      0x42f6a2a6      0x43168e0a      0
0xc266b8be      0xc1db24c8      0xc2aa2591      0
0xc1093efe      0x4139f654      0x4042dd57      0
0x42dae869      0x42f4e8d7      0x4367e8a0      0
0x42eb51c7      0xc21107a5      0x42a2cdf4      0
0x405ca33e      0x41a12b15      0x41bcbf7c      0
0x42667d79      0xc15f8b27      0x422e9aaf      0
0xbfe9f040      0xc0998b21      0xc0d40731      0
