Ain[32]                          Bin[32]                          FPUMulResult[32]                       
0x5ed7e859      0x5f0105fc      0x7e59a242      
0x5ef5bbc5      0x5f1454a6      0x7e8e61cf      
0x5f059bab      0x5e99960f      0x7e2050b4      
0x5ebc4fe8      0x5de1d81a      0x7d262131      
0x5f598c24      0x5ed959b4      0x7eb8b405      
0x5eae575f      0x5f002f46      0x7e2e97c2      
0x5f1606b8      0x5e9ad892      0x7e357dec      
0x5ec38f95      0x5e121db4      0x7d5f3d27      
0x5eef2b58      0x5f68a046      0x7ed95504      
0x5f35d979      0x5f3479aa      0x7f003356      
0x5f6c70da      0x5f30d0af      0x7f234e53      
0x5f4320b7      0x5eb8d23b      0x7e8cdfc1      
0x5da0e36f      0x5e90ac89      0x7cb5d8bb      
0x5f72c77a      0x5f0b89f6      0x7f045525      
0x5a171d06      0x5d952482      0x783012e3      
0x5ef54930      0x5f1c3899      0x7e95aed4      
0x5e330ce7      0x5f7491ab      0x7e2b0e2e      
0x5e39c09f      0x5ed87467      0x7d9d0efc      
0x5d87ffc8      0x5ebefd4c      0x7ccaeccd      
0x5d3e8143      0x5e0f8202      0x7bd595e7      
0x5dcad3c6      0x5f789dfa      0x7dc4fa52      
0x5e921470      0x5dc19651      0x7cdcee5d      
0x5eb1704a      0x5f5c9b0d      0x7e98e7f8      
0x5f0953c5      0x5f79932b      0x7f05e16d      
0x5f2c49ca      0x5d7218d4      0x7d22ee77      
0x5e72c649      0x5f35dab5      0x7e2c759a      
0x5f27fc4d      0x5dd7760d      0x7d8d625b      
0x5f62061e      0x5e2a2f9a      0x7e164217      
0x5f76833b      0x5f6375dc      0x7f5b07db      
0x5f6004b5      0x5f584ecd      0x7f3d48ee      
0x5f6d5fd2      0x5db39818      0x7da68707      
0x5f0f5b69      0x5f75dc4f      0x7f09adda      
