Float32A[32]                            Float32B[32]                            FloatResult[32]                       FloatSubMode[1]
11000000110000101110100001111001      01000001110010010000101100000101      01000001100110000101000011100111      0
11000001110100001011010111001000      11000001010110000000001000011111      11000010000111100101101101101100      0
11000001000011010010000110000011      11000001110011000010010001000101      11000010000010010101101010000011      0
01000001101000001000011011110111      01000000010001011011000111100011      01000001101110010011110100110011      0
11000001111100101010001001111101      11000000110010101100100000110001      11000010000100101010101001000101      0
11000001101111100010110100100001      01000000101001011001110000000100      11000001100101001100011000100000      0
11000001100011100001110101011011      11000010000000110101111000111100      11000010010010100110110011101010      0
11000001110001010100110001100000      01000000001001010100111001111110      11000001101100001010001010010000      0
10111111111010111110101011101010      11000010000000110100000010111110      11000010000010101010000000010110      0
00111111101011010110001010100010      00111111011110101111001111101100      01000000000101010110111001001100      0
01000001101101110100101100101101      11000001011100110011000010101000      01000000111101101100101101100101      0
00111111111110001010001001111101      11000001001110001010011010010001      11000001000110011001001001000001      0
01000001100001101111111000000000      11000001011101111111101110101000      00111111101100000000001011000011      0
11000001101110010100000000000011      01000001010110111011110101111101      11000001000101101100001010001001      0
11000001100011111001000000101110      11000001011100100000011011010000      11000010000001000100100111001011      0
11000000111111001000001111101000      11000001010010111100010010011110      11000001101001010000001101001001      0
01000000100011110100001110111011      11000001111010001110101101101111      11000001110001010001101010000000      0
01000001100100011101000001001101      11000000000011010101101011001100      01000001100000000010010011110011      0
01000001110011000100011010101101      01000001010101001100000010111000      01000010000110110101001110000100      0
01000001010000010011100001001000      01000000110011011011000111111011      01000001100101000000100010100011      0
11000001101011010011010001101111      00111111110011001111000010100100      11000001101000000110010101100101      0
01000001000011010001001110010011      11000001101001010111011101110100      11000001001111011101101101010110      0
01000001101010100111001111101010      01000001100001001110111001110101      01000010000101111011000100101111      0
11000001110111000010111110100100      01000000101111000000010101110111      11000001101011010010111001000110      0
11000001110010001010110001010101      01000001001100101011011011001101      11000001010111101010000111011101      0
11000001101111111000110011111011      11000001110100111001001000110000      11000010010010011000111110010110      0
11000001110001000100100101011001      11000001101011001111110011010110      11000010001110001010001100010111      0
11000001100011010101011111101101      01000001100101011010100000010010      00111111100001010000001001010111      0
01000001110110101101100101101000      01000000010100110011101101000111      01000001111101010100000011010001      0
01000000001011001110101110010110      10111111100101101111101100111001      00111111110000101101101111110100      0
11000010000001010101010000111110      11000001101011010011111011000110      11000010010110111111001110100001      0
11000001011011100111011011011110      11000000111001100011111001100111      11000001101100001100101100001001      0
