A[32]                                 B[32]                                 Result[32]                            Opcode[4]  shiftAmount[5]   ErrorBit[1]
0xd4389892      0xcc2c64      0xd504c4f6      0011       00000            0      
0x3f2df012      0xcea8f55      0x4c187f67      0011       00000            0      
0xc94d79d8      0xbd01ab4a      0x864f2522      0011       00000            0      
0x44824222      0xad619908      0xf1e3db2a      0011       00000            0      
0xc5d1666b      0x301be7ec      0xf5ed4e57      0011       00000            0      
0x2d5d99bd      0x14367754      0x41941111      0011       00000            0      
0xb85cfab3      0x8a842999      0x42e1244c      0011       00000            1      
0xa34f4af1      0x5d9692d0      0xe5ddc1      0011       00000            0      
0x82200f35      0x988e5652      0x1aae6587      0011       00000            1      
0x9e340c4e      0x85fdb8e3      0x2431c531      0011       00000            1      
0xae9fa9e2      0xc863fd84      0x7703a766      0011       00000            1      
0xe2f59933      0xe6746ee7      0xc96a081a      0011       00000            0      
0xffdece6b      0xadd2bf0d      0xadb18d78      0011       00000            0      
0x2de12aa2      0xce8b546e      0xfc6c7f10      0011       00000            0      
0x2cb28e40      0x24490bc2      0x50fb9a02      0011       00000            0      
0x90c56eed      0x4d0ec771      0xddd4365e      0011       00000            0      
0xd70047ba      0xfa57c623      0xd1580ddd      0011       00000            0      
0xc84b6b5f      0x76e4a57      0xcfb9b5b6      0011       00000            0      
0xacbfde75      0xa3b6db9c      0x5076ba11      0011       00000            1      
0x52e15eee      0x42469fe3      0x9527fed1      0011       00000            1      
0x2e3073b5      0x6511711a      0x9341e4cf      0011       00000            1      
0x15275822      0x1b234e71      0x304aa693      0011       00000            0      
0xc11f09ec      0xbf6b1c5f      0x808a264b      0011       00000            0      
0x9d81253b      0xfc71cb19      0x99f2f054      0011       00000            0      
0xd1009dae      0xaa555a40      0x7b55f7ee      0011       00000            1      
0xd9c54a5a      0x98887008      0x724dba62      0011       00000            1      
0x8164d52e      0x627e3f88      0xe3e314b6      0011       00000            0      
0x2dfb36e      0xfd7c06e2      0x5bba50      0011       00000            0      
0xe1c36537      0xaea031e0      0x90639717      0011       00000            0      
0xc51be8d6      0x918d05b8      0x56a8ee8e      0011       00000            1      
0xd0535c51      0x655d3fac      0x35b09bfd      0011       00000            0      
0x29fab192      0xaa214f65      0xd41c00f7      0011       00000            0      
